configuration,h0,h1,w0,w1,n,mean_observed_cycles,mean_predicted_cycles,median_abs_pct_error,p95_abs_pct_error,within_config_r2
H10-10_W16-16,10,10,16,16,1025,31335699.581463415,32642703.36738949,4.15721036659295,4.723605295936679,0.9843223980885037
H10-10_W16-4,10,10,16,4,1025,31248875.660487805,32617597.878375437,4.379912460550956,4.923028223719617,0.9828152479073654
H10-10_W4-16,10,10,4,16,1025,17363836.02536585,17904057.624611467,3.091468675092714,4.070534123790849,0.9907101894819957
H10-10_W4-4,10,10,4,4,1025,17331920.03219512,17899464.585551023,3.2632591892100784,4.233031901998359,0.9897117772642443
H12-8_W16-16,12,8,16,16,4097,37021939.56138638,38634911.50885559,4.410146429411519,4.818669521067712,0.9829364718573913
H12-8_W16-4,12,8,16,4,4097,36996493.15767635,38634036.003659084,4.458747772456678,4.860238944052412,0.9824981994726028
H12-8_W4-16,12,8,4,16,4097,20459580.42689773,21267613.941356387,4.040445108488608,4.677526154513917,0.9855455811200261
H12-8_W4-4,12,8,4,4,4097,20482050.046131317,21266894.77637355,3.903321537297865,4.534494550602591,0.9864382618819065
H14-6_W16-16,14,6,16,16,16385,42907321.49337809,44650950.77074932,4.098484925785865,4.504056821057251,0.9850022575704306
H14-6_W16-4,14,6,16,4,16385,47201389.17204761,44651183.36939683,5.432364486772979,6.830708963299585,0.9748863569453178
H14-6_W4-16,14,6,4,16,16385,23758954.545682028,24637490.753049105,3.8004567739334623,4.4626637330521355,0.9872121413303294
H14-6_W4-4,14,6,4,4,16385,26207203.624046385,24637312.883495126,5.939512475243571,8.51350470551021,0.9700327602534864
H6-14_W16-16,6,14,16,16,65,20339398.138461538,20846951.51209895,2.3139783340221136,3.3192362340098085,0.9930135491058213
H6-14_W16-4,6,14,16,4,65,20017883.338461537,20753336.194775954,3.51533396003365,4.453069849732015,0.9859748113390905
H6-14_W4-16,6,14,4,16,65,11087009.676923078,11368236.395747067,2.4666422731249584,3.93559004457438,0.9918894370665795
H6-14_W4-4,6,14,4,4,65,11029762.96923077,11290634.224808272,2.2384283930389595,3.806998696579114,0.9929636034339401
H8-12_W16-16,8,12,16,16,257,25598267.61089494,26633380.22751938,4.124274236710837,4.618563993999725,0.9854098642886325
H8-12_W16-4,8,12,16,4,257,25601491.52918288,26636308.70176085,4.111321458434379,4.673201463075354,0.9855754830948503
H8-12_W4-16,8,12,4,16,257,14307819.575875487,14567194.041195903,1.9619772020639241,2.884859201071133,0.99619308217432
H8-12_W4-4,8,12,4,4,257,14129432.108949417,14547629.340944394,3.1331383495664418,4.060497221336431,0.9913681354272665
