configuration,h0,h1,w0,w1,rollover_neighbor_delta_pct,source
H6-14_W4-4,6,14,4,4,13.570000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H8-12_W4-4,8,12,4,4,17.830000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H10-10_W4-4,10,10,4,4,16.970000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H12-8_W4-4,12,8,4,4,17.540000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H14-6_W4-4,14,6,4,4,18.608365256101,GATE11D_R3_RANDOMIZED_POOLED_MEAN
H6-14_W4-16,6,14,4,16,68.990000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H8-12_W4-16,8,12,4,16,71.620000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H10-10_W4-16,10,10,4,16,71.360000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H12-8_W4-16,12,8,4,16,64.130000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H14-6_W4-16,14,6,4,16,70.889330043509,GATE11D_R3_RANDOMIZED_POOLED_MEAN
H6-14_W16-4,6,14,16,4,-8.450000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H8-12_W16-4,8,12,16,4,-9.330000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H10-10_W16-4,10,10,16,4,-6.570000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H12-8_W16-4,12,8,16,4,-10.940000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H14-6_W16-4,14,6,16,4,-8.986442675456,GATE11D_R3_RANDOMIZED_POOLED_MEAN
H6-14_W16-16,6,14,16,16,18.330000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H8-12_W16-16,8,12,16,16,20.440000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H10-10_W16-16,10,10,16,16,18.640000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H12-8_W16-16,12,8,16,16,21.430000000000,TABLE1_PUBLISHED_NEIGHBOR_DELTA
H14-6_W16-16,14,6,16,16,19.775099584446,GATE11D_R3_RANDOMIZED_POOLED_MEAN
