configuration,h0,h1,w0,w1,source,mean_sign_ms,signature_bytes,state_bytes,strict_scenario_A,x_jitter_bytes,x_plot_bytes
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,8.481949261538,4963,5518,YES,-64.000000,4899.000000
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,10.673789501946,4963,5758,NO,-32.000000,4931.000000
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,13.066100057561,4963,5998,NO,0.000000,4963.000000
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,15.469351136929,4963,6238,NO,32.000000,4995.000000
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,17.822585198596,4963,6478,NO,64.000000,5027.000000
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,4.623480307692,7075,5518,YES,-64.000000,7011.000000
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,5.965819291829,7075,5758,NO,-49.777778,7025.222222
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,7.240074765854,7075,5998,NO,-35.555556,7039.444444
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,8.346227600000,7075,7630,NO,-21.333333,7053.666667
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,8.531923292165,7075,6238,NO,-7.111111,7067.888889
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,9.907198644817,7075,6478,NO,7.111111,7082.111111
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,10.675225439689,7075,7870,NO,21.333333,7096.333333
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,13.029999761951,7075,8110,NO,35.555556,7110.555556
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,15.429613594337,7075,8350,NO,49.777778,7124.777778
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,17.889487751785,7075,8590,NO,64.000000,7139.000000
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,4.598698523077,9187,7630,YES,-64.000000,9123.000000
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,5.892104902724,9187,7870,NO,-32.000000,9155.000000
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,7.227058341463,9187,8110,NO,0.000000,9187.000000
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,8.540608932634,9187,8350,NO,32.000000,9219.000000
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,9.953748082392,9187,8590,NO,64.000000,9251.000000
