configuration,h0,h1,w0,w1,source,n_sign,total_cpu_cycles,total_logical_hash_calls,cycles_per_logical_hash,microseconds_per_logical_hash_at_2p4GHz,in_tightest_18_of_20_band
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,65,716934593.0,414788.0,1728.4361963219765,0.7201817484674902,YES
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,65,720655629.0,417623.0,1725.6128829111424,0.7190053678796426,YES
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,65,1301162417.0,760484.0,1710.9661965274745,0.7129025818864477,YES
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,65,1322060879.0,763904.0,1730.6636422901306,0.7211098509542211,YES
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,257,3631264052.0,2103323.0,1726.4414699977133,0.7193506124990472,YES
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,257,3677109631.0,2106149.0,1745.892446830685,0.727455186179452,NO
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,257,6579583323.0,3849458.0,1709.223304423636,0.7121763768431816,YES
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,257,6578754776.0,3849035.0,1709.1958831239517,0.7121649513016466,YES
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,1025,17765218033.0,10288601.0,1726.6893752610292,0.7194539063587622,YES
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,1025,17797931926.0,10291247.0,1729.4242307079012,0.7205934294616255,YES
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,1025,32030097552.0,18767558.0,1706.6736946810022,0.7111140394504176,YES
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,1025,32119092071.0,18782021.0,1710.0977616306573,0.7125407340127738,YES
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,4097,83914959039.0,48750557.0,1721.3128260052497,0.7172136775021873,YES
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,4097,83822901009.0,48752213.0,1719.3660728590926,0.7164025303579552,YES
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,4097,151574632467.0,88741361.0,1708.049445703227,0.7116872690430113,YES
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,4097,151678886383.0,88743377.0,1709.1854233020676,0.7121605930425282,YES
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,49155,1173203498102,676468158,1734.3070538170105,0.722627939090421,NO
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,49155,1167755899651,676461498,1726.2710488380228,0.7192796036825095,YES
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,49155,2108571725539,1229468361,1715.0272365073085,0.7145946818780452,YES
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,49155,2100754762969,1229494299,1708.6331873825143,0.7119304947427143,YES
