dataset,configuration,h0,h1,w0,w1,n_sign,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_cycles,median_cycles,p95_cycles,mean_logical_hash_calls,cycles_per_mean_logical_hash
ORIGINAL,H14-6_W16-16,14,6,16,16,16385,17.89114908837351,20.329963,22.774071199999998,42907321.49337809,48755132,54617360.4,25010.35324992371,1715.5823856070072
ORIGINAL,H14-6_W16-4,14,6,16,4,16385,19.68153683539823,22.371481,25.0741188,47201389.17204761,53650720,60132546.2,25010.483979249315,1887.2641253647723
ORIGINAL,H14-6_W4-16,14,6,4,16,16385,9.907464412938664,11.264407,12.618770600000001,23758954.545682028,27014346,30260708.2,13762.02416844675,1726.4142436369216
ORIGINAL,H14-6_W4-4,14,6,4,4,16385,10.927825557216966,12.424907,13.9264556,26207203.624046385,29797787,33397720.0,13761.924198962466,1904.3269854677872
REPEAT01,H14-6_W16-16,14,6,16,16,16385,17.801862198046994,20.225611,22.6599518,42689411.72334452,48504918,54338566.0,25011.62209337809,1706.7830132715255
REPEAT01,H14-6_W16-4,14,6,16,4,16385,17.819368414769606,20.247149,22.6788408,42733765.892706744,48555039,54386602.4,25011.7610619469,1708.5468626886193
REPEAT01,H14-6_W4-16,14,6,4,16,16385,9.896776096246567,11.253722,12.604667,23733525.16502899,26987598,30225230.8,13761.848397924932,1724.5884766909383
REPEAT01,H14-6_W4-4,14,6,4,4,16385,10.030132034787915,11.366093,12.95103,24049899.851876717,27251049,31057391.0,13762.236740921575,1747.5284217691956
REPEAT02,H14-6_W16-16,14,6,16,16,16385,17.820660358437596,20.246888,22.6788372,42733568.861763805,48555053,54385284.199999996,25014.02520598108,1708.3843367818235
REPEAT02,H14-6_W16-4,14,6,16,4,16385,17.809122747329873,20.232555,22.666815,42709246.91187061,48521765,54359185.6,25011.863777845592,1707.5595521874138
REPEAT02,H14-6_W4-16,14,6,4,16,16385,9.9222723133964,11.28013,12.633273599999999,23788699.171132132,27052568,30292289.2,13762.123588648154,1728.563111492075
REPEAT02,H14-6_W4-4,14,6,4,4,16385,9.909192923893805,11.264926,12.619088399999999,23758358.239548367,27015120,30258015.8,13761.57540433323,1726.4272106569542
REPEAT03,H14-6_W16-16,14,6,16,16,16385,17.845233039304244,20.273018,22.708959399999998,42789089.171925545,48617474,54459566.199999996,25012.149404943546,1710.7321917511201
REPEAT03,H14-6_W16-4,14,6,16,4,16385,18.039972093256026,20.488537,22.9545666,43246137.36563931,49134460,55044033.0,25012.588831248093,1728.9748637139128
REPEAT03,H14-6_W4-16,14,6,4,16,16385,9.902547524809277,11.259889,12.612555799999999,23747589.496673785,27003495,30245582.0,13761.441379310345,1725.661494469404
REPEAT03,H14-6_W4-4,14,6,4,4,16385,9.921919288495575,11.283056,12.636704000000002,23794030.471406773,27059217,30301408.2,13762.00768996033,1728.9650614542973
