repeat,configuration,w0,w1,rollover_latency_ms,rollover_cycles,rollover_logical_hash_calls,rollover_percentile_rank,cycle_p95_latency_ms,cycle_max_latency_ms,max_latency_index_before,rollover_ge_p95,rollover_is_max
01,H14-6_W16-16,16,16,7.136963,17116875,10034,19.530057979859627,22.6599518,33.039871,10670,NO,NO
01,H14-6_W16-4,16,4,5.467555,13112598,7631,0.006103143118706134,22.6788408,22.874278,9998,NO,NO
01,H14-6_W4-16,4,16,5.494056,13180803,7676,20.50656087885261,12.604667,12.763611,4002,NO,NO
01,H14-6_W4-4,4,4,3.850167,9234920,5201,19.530057979859627,12.95103,25.28387,11912,NO,NO
02,H14-6_W16-16,16,16,7.014055,16825150,9854,19.530057979859627,22.6788372,35.049537,3266,NO,NO
02,H14-6_W16-4,16,4,5.43863,13048521,7604,0.006103143118706134,22.666815,23.038574,10350,NO,NO
02,H14-6_W4-16,4,16,5.489056,13169356,7667,20.482148306377784,12.633273599999999,23.449907,1919,NO,NO
02,H14-6_W4-4,4,4,3.811296,9139067,5282,19.530057979859627,12.619088399999999,25.013203,7938,NO,NO
03,H14-6_W16-16,16,16,7.226778,17330731,10124,19.530057979859627,22.708959399999998,44.190574,15243,NO,NO
03,H14-6_W16-4,16,4,5.467482,13117664,7559,0.006103143118706134,22.9545666,47.714315,3654,NO,NO
03,H14-6_W4-16,4,16,5.425371,12912783,7523,20.50656087885261,12.612555799999999,12.843907,4330,NO,NO
03,H14-6_W4-4,4,4,3.767926,9034884,5219,19.530057979859627,12.636704000000002,12.733556,482,NO,NO
