dataset,configuration,h0,h1,w0,w1,n_sign,mean_latency_ms,p95_latency_ms,mean_cycles,mean_cycles_million
REPEAT01,H14-6_W16-16,14,6,16,16,16385,17.801862198046994,22.6599518,42689411.72334452,42.68941172334452
REPEAT02,H14-6_W16-16,14,6,16,16,16385,17.820660358437596,22.6788372,42733568.861763805,42.73356886176381
REPEAT03,H14-6_W16-16,14,6,16,16,16385,17.845233039304244,22.708959399999998,42789089.171925545,42.789089171925546
POOLED,H14-6_W16-16,14,6,16,16,49155,17.822585198596276,22.6857834,42737356.58567796,42.73735658567796
ORIGINAL,H14-6_W16-16,14,6,16,16,16385,17.89114908837351,22.774071199999998,42907321.49337809,42.907321493378085
REPEAT01,H14-6_W16-4,14,6,16,4,16385,17.819368414769606,22.6788408,42733765.892706744,42.73376589270674
REPEAT02,H14-6_W16-4,14,6,16,4,16385,17.809122747329873,22.666815,42709246.91187061,42.709246911870615
REPEAT03,H14-6_W16-4,14,6,16,4,16385,18.039972093256026,22.9545666,43246137.36563931,43.246137365639306
POOLED,H14-6_W16-4,14,6,16,4,49155,17.88948775178517,22.883222000000004,42896383.39007222,42.89638339007222
ORIGINAL,H14-6_W16-4,14,6,16,4,16385,19.68153683539823,25.0741188,47201389.17204761,47.201389172047605
REPEAT01,H14-6_W4-16,14,6,4,16,16385,9.896776096246567,12.604667,23733525.16502899,23.73352516502899
REPEAT02,H14-6_W4-16,14,6,4,16,16385,9.9222723133964,12.633273599999999,23788699.171132132,23.788699171132134
REPEAT03,H14-6_W4-16,14,6,4,16,16385,9.902547524809277,12.612555799999999,23747589.496673785,23.747589496673786
POOLED,H14-6_W4-16,14,6,4,16,49155,9.907198644817415,12.6196354,23756604.61094497,23.756604610944972
ORIGINAL,H14-6_W4-16,14,6,4,16,16385,9.907464412938664,12.618770600000001,23758954.545682028,23.758954545682027
REPEAT01,H14-6_W4-4,14,6,4,4,16385,10.030132034787915,12.95103,24049899.851876717,24.049899851876717
REPEAT02,H14-6_W4-4,14,6,4,4,16385,9.909192923893805,12.619088399999999,23758358.239548367,23.758358239548368
REPEAT03,H14-6_W4-4,14,6,4,4,16385,9.921919288495575,12.636704000000002,23794030.471406773,23.794030471406774
POOLED,H14-6_W4-4,14,6,4,4,49155,9.953748082392432,12.685852,23867429.520943955,23.867429520943954
ORIGINAL,H14-6_W4-4,14,6,4,4,16385,10.927825557216966,13.9264556,26207203.624046385,26.207203624046386
