configuration,h0,h1,w0,w1,source,keygen_observations,sign_observations,mean_keygen_ms,mean_sign_ms
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,10,65,22096.611746000002,4.598698523076924
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,10,65,39314.6386877,4.623480307692308
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,10,65,22101.672114599998,8.346227599999999
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,10,65,39890.4845005,8.48194926153846
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,10,257,5841.4090911,5.8921049027237355
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,10,257,10258.6159589,5.965819291828794
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,10,257,6098.6041093,10.675225439688715
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,10,257,10429.377238,10.673789501945524
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,10,1025,2746.2785205,7.227058341463414
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,10,1025,3817.9566606,7.240074765853659
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,10,1025,3816.1510163,13.029999761951219
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,10,1025,4887.7673416,13.066100057560977
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,10,4097,5821.9544501,8.540608932633633
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,10,4097,6090.366352,8.531923292164999
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,10,4097,10148.4306772,15.42961359433732
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,10,4097,10398.887421700001,15.469351136929461
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,22102.970195500002,9.953748082392432
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,22126.7507949,9.907198644817415
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,39373.1000438,17.88948775178517
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,39276.58600123333,17.822585198596276
