configuration,h0,h1,w0,w1,source,keygen_observations,sign_observations,mean_keygen_ms,mean_sign_ms,leaf_count_w4,leaf_count_w16,predicted_keygen_ms,keygen_residual_pct,predicted_sign_ms,sign_residual_pct
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,10,65,22096.611746000002,4.598698523076924,16448,0,22073.148308134987,0.1061856819259302,4.598857126151998,-0.003448868724016397
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,10,65,39314.6386877,4.623480307692308,64,16384,39430.27751689421,-0.2941368229600234,4.598857126151998,0.5325681067429482
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,10,65,22101.672114599998,8.346227599999999,16384,64,22140.949594106703,-0.1777127056407611,8.35665873370146,-0.12498022102178347
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,10,65,39890.4845005,8.48194926153846,0,16448,39498.07880286593,0.9837075246081656,8.35665873370146,1.4771430949856355
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,10,257,5841.4090911,5.8921049027237355,4352,0,5829.075720678569,0.21113690599451787,5.9234643173083645,-0.5322277030426344
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,10,257,10258.6159589,5.965819291828794,256,4096,10168.358022868375,0.8798256645266113,5.9234643173083645,0.7099607354591112
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,10,257,6098.6041093,10.675225439688715,4096,256,6100.280864565432,-0.027494082832413134,10.722545832067386,-0.44327300295450023
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,10,257,10429.377238,10.673789501945524,0,4352,10439.563166755239,-0.0976657428607218,10.722545832067386,-0.45678556910809
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,10,1025,2746.2785205,7.227058341463414,2048,0,2734.9666564011563,0.4118979198360471,7.248071508464731,-0.2907568475095739
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,10,1025,3817.9566606,7.240074765853659,1024,1024,3819.7872319486078,-0.047946362710158175,7.248071508464731,-0.11045110540553447
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,10,1025,3816.1510163,13.029999761951219,1024,1024,3819.7872319486078,-0.09528489918445365,13.08843293043331,-0.4484510326141486
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,10,1025,4887.7673416,13.066100057560977,0,2048,4904.607807496059,-0.34454311588706404,13.08843293043331,-0.17092225510250633
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,10,4097,5821.9544501,8.540608932633633,4352,0,5829.075720678569,-0.12231752480383834,8.572678699621097,-0.375497429286631
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,10,4097,6090.366352,8.531923292164999,4096,256,6100.280864565432,-0.16279008506896192,8.572678699621097,-0.47768136281211543
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,10,4097,10148.4306772,15.42961359433732,256,4096,10168.358022868375,-0.19635888840571983,15.454320028799234,-0.16012348145245162
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,10,4097,10398.887421700001,15.469351136929461,0,4352,10439.563166755239,-0.3911547784463665,15.454320028799234,0.09716702398941449
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,22102.970195500002,9.953748082392432,16448,0,22073.148308134987,0.13492253349319702,9.897285890777464,0.5672455355269176
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,22126.7507949,9.907198644817415,16384,64,22140.949594106703,-0.06417028572481127,9.897285890777464,0.10005607432869927
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,39373.1000438,17.88948775178517,64,16384,39430.27751689421,-0.14521963734277027,17.820207127165162,0.3872700302058284
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,39276.58600123333,17.822585198596276,0,16448,39498.07880286593,-0.5639308916147805,17.820207127165162,0.01334302181538165
