scenario,definition,epsilon_pct,front_size,members
A,strict,0,3,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16
A,relaxed,2,2,H6-14_W4-16;H6-14_W16-16
A,margin,2,12,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-16;H8-12_W16-16;H10-10_W4-16;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
A,relaxed,5,2,H6-14_W4-16;H6-14_W16-16
A,margin,5,12,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-16;H8-12_W16-16;H10-10_W4-16;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
A,relaxed,10,2,H6-14_W4-16;H6-14_W16-16
A,margin,10,12,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-16;H8-12_W16-16;H10-10_W4-16;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
B,strict,0,10,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16
B,relaxed,2,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
B,margin,2,16,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
B,relaxed,5,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
B,margin,5,16,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
B,relaxed,10,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
B,margin,10,16,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-16;H12-8_W16-16;H14-6_W4-16;H14-6_W16-16
C,strict,0,12,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-4;H14-6_W4-16
C,relaxed,2,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
C,margin,2,20,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-4;H12-8_W4-16;H12-8_W16-4;H12-8_W16-16;H14-6_W4-4;H14-6_W4-16;H14-6_W16-4;H14-6_W16-16
C,relaxed,5,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
C,margin,5,20,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-4;H12-8_W4-16;H12-8_W16-4;H12-8_W16-16;H14-6_W4-4;H14-6_W4-16;H14-6_W16-4;H14-6_W16-16
C,relaxed,10,9,H6-14_W4-4;H6-14_W4-16;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-16
C,margin,10,20,H6-14_W4-4;H6-14_W4-16;H6-14_W16-4;H6-14_W16-16;H8-12_W4-4;H8-12_W4-16;H8-12_W16-4;H8-12_W16-16;H10-10_W4-4;H10-10_W4-16;H10-10_W16-4;H10-10_W16-16;H12-8_W4-4;H12-8_W4-16;H12-8_W16-4;H12-8_W16-16;H14-6_W4-4;H14-6_W4-16;H14-6_W16-4;H14-6_W16-16
