configuration,h0,h1,w0,w1,source,keygen_n,sign_n,verify_n,mean_keygen_ms,mean_sign_ms,p95_sign_ms,mean_verify_ms,signature_bytes,secret_key_bytes,public_key_bytes
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,10,65,65,22096.611746000002,4.598698523076924,7.2469742,1.6077564153846153,9187,7630,64
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,10,65,65,39314.6386877,4.623480307692308,7.2328258,2.2416164615384617,7075,5518,64
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,10,65,65,22101.672114599998,8.346227599999999,13.1072698,2.160911076923077,7075,7630,64
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,10,65,65,39890.4845005,8.48194926153846,13.2660112,2.606960138461538,4963,5518,64
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,10,257,257,5841.4090911,5.8921049027237355,8.581333,1.7067786186770428,9187,7870,64
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,10,257,257,10258.6159589,5.965819291828794,8.675193,2.1457135291828795,7075,5758,64
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,10,257,257,6098.6041093,10.675225439688715,15.4961702,2.122759093385214,7075,7870,64
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,10,257,257,10429.377238,10.673789501945524,15.4686112,2.5494109571984436,4963,5758,64
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,10,1025,1025,2746.2785205,7.227058341463414,9.9315188,1.6740446995121951,9187,8110,64
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,10,1025,1025,3817.9566606,7.240074765853659,9.946874,2.1203518273170734,7075,5998,64
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,10,1025,1025,3816.1510163,13.029999761951219,17.873925800000002,2.1679058907317073,7075,8110,64
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,10,1025,1025,4887.7673416,13.066100057560977,17.9127294,2.6045264097560974,4963,5998,64
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,10,4097,4097,5821.9544501,8.540608932633633,11.2408926,1.6493473451305833,9187,8350,64
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,10,4097,4097,6090.366352,8.531923292164999,11.2315036,2.1772956477910665,7075,6238,64
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,10,4097,4097,10148.4306772,15.42961359433732,20.282826,2.152733161581645,7075,8350,64
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,10,4097,4097,10398.887421700001,15.469351136929461,20.298980999999998,2.74638268391506,4963,6238,64
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,49155,22102.970195500002,9.953748082392432,12.685852,1.671843946658529,9187,8590,64
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,49155,22126.7507949,9.907198644817415,12.6196354,2.1104678509002137,7075,6478,64
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,49155,39373.1000438,17.88948775178517,22.883222000000004,2.1570911175668805,7075,8590,64
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,30,49155,49155,39276.58600123333,17.822585198596276,22.6857834,2.5868756500661174,4963,6478,64
