configuration,h0,h1,w0,w1,n_sign,rollover_index_before,rollover_index_after,rollover_latency_ms,rollover_cycles,rollover_logical_hash_calls,cycle_mean_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,cycle_max_latency_ms,cycle_mean_cycles,cycle_median_cycles,cycle_p95_cycles,cycle_max_cycles,cycle_mean_logical_hash_calls,rollover_latency_percentile_rank,rollover_cycle_percentile_rank,rollover_ge_p95_latency,rollover_ge_p95_cycles,rollover_is_max_latency,rollover_is_max_cycles,max_latency_index_before,max_cycles_index_before,rollover_vs_cycle_mean_pct
H6-14_W4-4,6,14,4,4,65,63,64,3.659112,8777428,5070,4.598698523076924,3.659112,7.2469742,7.275833,11029762.96923077,8777428,17383103.0,17451094,6381.3538461538465,49.23076923076923,49.23076923076923,NO,NO,NO,NO,34,34,-20.431574680574187
H6-14_W4-16,6,14,4,16,65,63,64,5.418019,12998787,7581,4.623480307692308,4.527611,7.2328258,7.247648,11087009.676923078,10858883,17344679.6,17384815,6424.969230769231,58.46153846153847,58.46153846153847,NO,NO,NO,NO,18,18,17.184861607083732
H6-14_W16-4,6,14,16,4,65,63,64,5.457407,13093027,7617,8.346227599999999,6.134389,13.1072698,13.130371,20017883.338461537,14712932,31420752.2,31490499,11699.753846153846,1.5384615384615385,1.5384615384615385,NO,NO,NO,NO,8,8,-34.612291186499625
H6-14_W16-16,6,14,16,16,65,63,64,7.064296,16942775,9777,8.48194926153846,7.064296,13.2660112,13.348649,20339398.138461538,16942775,31826031.4,32013204,11752.36923076923,49.23076923076923,49.23076923076923,NO,NO,NO,NO,18,18,-16.71376729364361
H8-12_W4-4,8,12,4,4,257,255,256,3.767204,9033689,5213,5.8921049027237355,7.189037,8.581333,8.660129,14129432.108949417,17246653,20578305.8,20665688,8184.136186770428,37.35408560311284,37.35408560311284,NO,NO,NO,NO,100,100,-36.06352802275229
H8-12_W4-16,8,12,4,16,257,255,256,5.529111,13263463,7643,5.965819291828794,7.278056,8.675193,8.720926,14307819.575875487,17456418,20812159.4,20902452,8195.132295719844,37.35408560311284,37.35408560311284,NO,NO,NO,NO,102,164,-7.320172979877883
H8-12_W16-4,8,12,16,4,257,255,256,5.333833,12795224,7463,10.675225439688715,12.988352,15.4961702,15.706425,25601491.52918288,31148752,37168373.4,37450661,14978.43579766537,0.38910505836575876,0.38910505836575876,NO,NO,NO,NO,96,96,-50.03540646392632
H8-12_W16-16,8,12,16,16,257,255,256,7.085815,16978724,9920,10.673789501945524,12.95737,15.4686112,15.558796,25598267.61089494,31076100,37099802.6,37318840,14976.789883268482,37.35408560311284,37.35408560311284,NO,NO,NO,NO,100,198,-33.614814132239914
H10-10_W4-4,10,10,4,4,1025,1023,1024,3.721963,8927719,5167,7.227058341463414,8.555186,9.9315188,9.97574,17331920.03219512,20517605,23814408.4,23912803,10037.659512195121,25.170731707317074,25.170731707317074,NO,NO,NO,NO,416,910,-48.499613201595714
H10-10_W4-16,10,10,4,16,1025,1023,1024,5.415925,12993785,7588,7.240074765853659,8.570685,9.946874,9.99937,17363836.02536585,20554250,23855994.4,23970349,10040.240975609757,28.09756097560976,28.09756097560976,NO,NO,NO,NO,402,362,-25.19517856993536
H10-10_W16-4,10,10,16,4,1025,1023,1024,5.405149,12961209,7570,13.029999761951219,15.389241,17.873925800000002,18.016037,31248875.660487805,36909724,42860822.0,43191938,18309.81268292683,0.0975609756097561,0.0975609756097561,NO,NO,NO,NO,410,410,-58.51765849003677
H10-10_W16-16,10,10,16,16,1025,1023,1024,6.9235,16602088,9703,13.066100057560977,15.435315,17.9127294,18.059703,31335699.581463415,37021653,42956050.0,43324294,18323.92292682927,25.170731707317074,25.170731707317074,NO,NO,NO,NO,598,598,-47.01173288510393
H12-8_W4-4,12,8,4,4,4097,4095,4096,3.757426,9011166,5229,8.540608932633633,9.881908,11.2408926,11.343815,20482050.046131317,23699183,26957455.2,27130846,11899.086404686355,21.13741762265072,21.13741762265072,NO,NO,NO,NO,1590,1590,-56.00517445959983
H12-8_W4-16,12,8,4,16,4097,4095,4096,5.279611,12646618,7380,8.531923292164999,9.868889,11.2315036,11.415074,20459580.42689773,23669348,26934162.6,27260086,11899.490602880156,24.212838662435928,24.212838662435928,NO,NO,NO,NO,3746,3746,-38.119333481955344
H12-8_W16-4,12,8,16,4,4097,4095,4096,5.300037,12714343,7425,15.42961359433732,17.825778,20.282826,24.443056,36996493.15767635,42750708,48641753.4,49101068,21660.083231632903,0.0244081034903588,0.0244081034903588,NO,NO,NO,NO,3654,3644,-65.65022858417454
H12-8_W16-16,12,8,16,16,4097,4095,4096,7.007352,16809109,9801,15.469351136929461,17.838426,20.298980999999998,45.239149,37021939.56138638,42780580,48675833.6,51546411,21660.57529899927,21.13741762265072,21.13741762265072,NO,NO,NO,NO,1410,1426,-54.70170702071928
H14-6_W4-4,14,6,4,4,16385,16383,16384,4.107444,9851564,5165,10.927825557216966,12.424907,13.9264556,14.253889,26207203.624046385,29797787,33397720.0,33937356,13761.924198962466,19.530057979859627,19.530057979859627,NO,NO,NO,NO,814,814,-62.41297979644855
H14-6_W4-16,14,6,4,16,16385,16383,16384,5.537389,13284812,7748,9.907464412938664,11.264407,12.618770600000001,15.401871,23758954.545682028,27014346,30260708.2,31264878,13762.02416844675,20.50656087885261,20.50656087885261,NO,NO,NO,NO,8221,8238,-44.108918597088866
H14-6_W16-4,14,6,16,4,16385,16383,16384,6.052074,14520179,7676,19.68153683539823,22.371481,25.0741188,25.405667,47201389.17204761,53650720,60132546.2,60940981,25010.483979249315,0.006103143118706134,0.006103143118706134,NO,NO,NO,NO,6836,6836,-69.24999276928901
H14-6_W16-16,14,6,16,16,16385,16383,16384,7.361111,17615747,10259,17.89114908837351,20.329963,22.774071199999998,23.460944,42907321.49337809,48755132,54617360.4,55989372,25010.35324992371,19.530057979859627,19.530057979859627,NO,NO,NO,NO,8134,8134,-58.85613068428574
