configuration,h0,h1,w0,w1,source,n_keygen,mean_keygen_ms,sd_keygen_ms,leaf_count_w4,leaf_count_w16,predicted_keygen_ms,keygen_residual_pct,h14_rollover_pooled_mean_delta_pct,h14_rollover_pooled_median_delta_pct
H6-14_W4-4,6,14,4,4,ORIGINAL_FULLCYCLE,10,22096.611746000002,4.7445559787109906,16448.0,0.0,22073.148308134987,0.1061856819259302,,
H6-14_W4-16,6,14,4,16,ORIGINAL_FULLCYCLE,10,39314.6386877,22.42367335379871,64.0,16384.0,39430.27751689421,-0.2941368229600234,,
H6-14_W16-4,6,14,16,4,ORIGINAL_FULLCYCLE,10,22101.672114599998,10.215809876099753,16384.0,64.0,22140.949594106703,-0.1777127056407611,,
H6-14_W16-16,6,14,16,16,ORIGINAL_FULLCYCLE,10,39890.4845005,38.229400608977016,0.0,16448.0,39498.07880286593,0.9837075246081656,,
H8-12_W4-4,8,12,4,4,ORIGINAL_FULLCYCLE,10,5841.4090911,3.1275519592913827,4352.0,0.0,5829.075720678569,0.21113690599451787,,
H8-12_W4-16,8,12,4,16,ORIGINAL_FULLCYCLE,10,10258.6159589,2.119932325217753,256.0,4096.0,10168.358022868375,0.8798256645266113,,
H8-12_W16-4,8,12,16,4,ORIGINAL_FULLCYCLE,10,6098.6041093,2.900934061174894,4096.0,256.0,6100.280864565432,-0.027494082832413134,,
H8-12_W16-16,8,12,16,16,ORIGINAL_FULLCYCLE,10,10429.377238,6.686143410598805,0.0,4352.0,10439.563166755239,-0.0976657428607218,,
H10-10_W4-4,10,10,4,4,ORIGINAL_FULLCYCLE,10,2746.2785205,2.9302875096407983,2048.0,0.0,2734.9666564011563,0.4118979198360471,,
H10-10_W4-16,10,10,4,16,ORIGINAL_FULLCYCLE,10,3817.9566606,1.160511869302239,1024.0,1024.0,3819.7872319486078,-0.047946362710158175,,
H10-10_W16-4,10,10,16,4,ORIGINAL_FULLCYCLE,10,3816.1510163,0.9525181171934528,1024.0,1024.0,3819.7872319486078,-0.09528489918445365,,
H10-10_W16-16,10,10,16,16,ORIGINAL_FULLCYCLE,10,4887.7673416,0.7207795082640162,0.0,2048.0,4904.607807496059,-0.34454311588706404,,
H12-8_W4-4,12,8,4,4,ORIGINAL_FULLCYCLE,10,5821.9544501,2.8317636783469466,4352.0,0.0,5829.075720678569,-0.12231752480383834,,
H12-8_W4-16,12,8,4,16,ORIGINAL_FULLCYCLE,10,6090.366352,1.602918115131464,4096.0,256.0,6100.280864565432,-0.16279008506896192,,
H12-8_W16-4,12,8,16,4,ORIGINAL_FULLCYCLE,10,10148.4306772,7.713671063555209,256.0,4096.0,10168.358022868375,-0.19635888840571983,,
H12-8_W16-16,12,8,16,16,ORIGINAL_FULLCYCLE,10,10398.887421700001,8.487556443449206,0.0,4352.0,10439.563166755239,-0.3911547784463665,,
H14-6_W4-4,14,6,4,4,RANDOMIZED_H14_POOLED_3REPEAT,30,22102.970195500002,77.74438370153761,16448.0,0.0,22073.148308134987,0.13492253349319702,18.608365256100885,18.610840828239763
H14-6_W4-16,14,6,4,16,RANDOMIZED_H14_POOLED_3REPEAT,30,22126.7507949,18.785441447871705,16384.0,64.0,22140.949594106703,-0.06417028572481127,70.88933004350856,71.35848209589045
H14-6_W16-4,14,6,16,4,RANDOMIZED_H14_POOLED_3REPEAT,30,39373.1000438,209.2476231451611,64.0,16384.0,39430.27751689421,-0.14521963734277027,-8.986442675456344,-9.340913275325237
H14-6_W16-16,14,6,16,16,RANDOMIZED_H14_POOLED_3REPEAT,30,39276.58600123333,52.71741203732711,0.0,16448.0,39498.07880286593,-0.5639308916147805,19.77509958444566,20.044418515328612
