configuration,h0,h1,w0,w1,operation,n,mean_latency_ms,median_latency_ms,sd_latency_ms,cv_latency_pct,p95_latency_ms,max_latency_ms,min_latency_ms,mean_cpu_cycles,median_cpu_cycles,p95_cpu_cycles,max_cpu_cycles,mean_logical_hash_calls,median_logical_hash_calls,p95_logical_hash_calls,max_logical_hash_calls,signature_bytes,public_key_bytes,secret_key_bytes
H10-10_W16-16,10,10,16,16,keygen,10,4887.7673416,4887.6751265,0.7207795082640162,0.014746600193700518,4889.0310732,4889.124423,4886.924368,11723075896.6,11722863473.5,11726015039.7,11726218770.0,6862393.5,6862411.5,6862458.75,6862479.0,4963,64,5998
H10-10_W16-16,10,10,16,16,sign,1025,13.066100057560975,15.435315,4.7569700967965955,36.40696210682907,17.9127294,18.059703,3.531556,31335699.581463415,37021653.0,42956050.0,43324294.0,18323.92292682927,21650.0,25123.0,25319.0,4963,64,5998
H10-10_W16-16,10,10,16,16,verify,1025,2.6045264097560974,2.591166,0.08244467463332265,3.1654382280210105,2.7480818,2.87313,2.356537,6246219.228292683,6213458.0,6592356.600000001,6895725.0,3646.653658536585,3624.0,3849.0,4029.0,4963,64,5998
H10-10_W16-4,10,10,16,4,keygen,10,3816.1510163,3816.4091735,0.9525181171934528,0.024960178806471327,3817.09600565,3817.263164,3814.26685,9152836207.7,9153308965.5,9155219490.85,9155748829.0,5337798.9,5337825.0,5337843.0,5337843.0,7075,64,8110
H10-10_W16-4,10,10,16,4,sign,1025,13.029999761951219,15.389241,4.747288168827898,36.433524601361924,17.873925800000002,18.016037,3.492037,31248875.660487805,36909724.0,42860822.0,43191938.0,18309.81268292683,21650.0,25102.0,25278.0,7075,64,8110
H10-10_W16-4,10,10,16,4,verify,1025,2.1679058907317073,2.171815,0.08525620871926784,3.9326526618963307,2.313215,2.396148,1.949889,5199114.713170731,5211502.0,5547458.199999999,5745446.0,3031.4721951219512,3042.0,3222.0,3357.0,7075,64,8110
H10-10_W4-16,10,10,4,16,keygen,10,3817.9566606,3817.7826185000004,1.160511869302239,0.03039615093796958,3819.5135056999998,3819.690164,3816.163257,9157200078.5,9156604307.0,9160850453.7,9161175279.0,5338627.5,5338654.5,5338791.75,5338812.0,7075,64,5998
H10-10_W4-16,10,10,4,16,sign,1025,7.240074765853659,8.570685,2.6737101974094775,36.92931749848066,9.946874,9.99937,1.863037,17363836.02536585,20554250.0,23855994.4,23970349.0,10040.240975609757,11883.0,13794.0,13865.0,7075,64,5998
H10-10_W4-16,10,10,4,16,verify,1025,2.1203518273170734,2.1255,0.028490304221321885,1.3436592858917795,2.1647444,2.230111,2.031074,5084567.0302439025,5100366.0,5192129.0,5271577.0,2958.8312195121953,2970.0,3024.0,3069.0,7075,64,5998
H10-10_W4-4,10,10,4,4,keygen,10,2746.2785205,2746.1962575,2.9302875096407983,0.10670030325647002,2750.0620437999996,2750.091202,2741.860017,6586803533.4,6586698691.0,6595830613.8,6595901973.0,3814109.4,3814113.0,3814162.95,3814167.0,9187,64,8110
H10-10_W4-4,10,10,4,4,sign,1025,7.227058341463414,8.555186,2.667570266455615,36.910872175351166,9.9315188,9.97574,1.864555,17331920.03219512,20517605.0,23814408.4,23912803.0,10037.659512195121,11883.0,13792.0,13857.0,9187,64,8110
H10-10_W4-4,10,10,4,4,verify,1025,1.6740446995121951,1.679148,0.028973521390589497,1.7307495671431101,1.7211371999999998,1.758481,1.598389,4014589.579512195,4028584.0,4126249.0,4215368.0,2323.129756097561,2334.0,2388.0,2442.0,9187,64,8110
H12-8_W16-16,12,8,16,16,keygen,10,10398.887421700001,10400.613744,8.487556443449206,0.08161985123271646,10410.0010338,10410.143142,10384.80679,24941303542.2,24945434640.5,24967820429.55,24968034603.0,14580735.0,14580721.5,14580928.5,14580969.0,4963,64,6238
H12-8_W16-16,12,8,16,16,sign,4097,15.469351136929461,17.838426,5.689058012278225,36.776319587813404,20.298980999999998,45.239149,3.543167,37021939.56138638,42780580.0,48675833.6,51546411.0,21660.57529899927,25041.0,28481.0,28681.0,4963,64,6238
H12-8_W16-16,12,8,16,16,verify,4097,2.74638268391506,2.741407,0.16645137401739502,6.060749472106089,2.8824552,7.155593,2.455333,6574002.772760556,6575691.0,6910456.6,7294171.0,3837.961435196485,3849.0,4029.0,4254.0,4963,64,6238
H12-8_W16-4,12,8,16,4,keygen,10,10148.4306772,10152.510345499999,7.713671063555209,0.07600851115715014,10155.769774100001,10156.724549,10135.240235,24340716177.3,24350549125.0,24358447992.449997,24360827007.0,14198982.0,14198968.5,14199041.850000001,14199054.0,7075,64,8350
H12-8_W16-4,12,8,16,4,sign,4097,15.42961359433732,17.825778,5.6109346569594525,36.36471271723013,20.282826,24.443056,3.518982,36996493.15767635,42750708.0,48641753.4,49101068.0,21660.083231632903,25041.0,28481.0,28710.0,7075,64,8350
H12-8_W16-4,12,8,16,4,verify,4097,2.152733161581645,2.153519,0.10536257425786168,4.894362949305349,2.2900405999999998,6.223185,1.874482,5160154.979985355,5166255.0,5490210.4,5951302.0,3003.9306809860873,3015.0,3195.0,3465.0,7075,64,8350
H12-8_W4-16,12,8,4,16,keygen,10,6090.366352,6090.327922500001,1.602918115131464,0.026318911252441915,6092.512220799999,6092.871571,6088.401441,14607445871.7,14607246955.0,14612655272.5,14613542902.0,8485896.0,8485896.0,8486031.0,8486031.0,7075,64,6238
H12-8_W4-16,12,8,4,16,sign,4097,8.531923292164999,9.868889,3.134878487431627,36.74292864670309,11.2315036,11.415074,1.88787,20459580.42689773,23669348.0,26934162.6,27260086.0,11899.490602880156,13773.0,15658.0,15743.0,7075,64,6238
H12-8_W4-16,12,8,4,16,verify,4097,2.1772956477910665,2.181334,0.028520467135371663,1.3099032813622051,2.2225775999999997,2.281703,2.083778,5221122.636563339,5232116.0,5329200.4,5471381.0,3048.8054674151817,3060.0,3114.0,3177.0,7075,64,6238
H12-8_W4-4,12,8,4,4,keygen,10,5821.9544501,5821.274144499999,2.8317636783469466,0.04863939940818855,5826.4846049,5828.473163,5817.702571,13963665256.7,13962022270.0,13974349782.849998,13979009275.0,8104147.5,8104161.0,8104174.950000001,8104179.0,9187,64,8350
H12-8_W4-4,12,8,4,4,sign,4097,8.540608932633635,9.881908,3.139914855370395,36.76453143022147,11.2408926,11.343815,1.9065,20482050.046131317,23699183.0,26957455.2,27130846.0,11899.086404686355,13773.0,15662.0,15748.0,9187,64,8350
H12-8_W4-4,12,8,4,4,verify,4097,1.6493473451305833,1.654278,0.02801441515457057,1.6985151876758011,1.6952076,1.753611,1.556574,3955574.466194777,3969348.0,4064256.6,4208827.0,2295.6670734683917,2307.0,2361.0,2442.0,9187,64,8350
H14-6_W16-16,14,6,16,16,keygen,10,39314.9546191,39299.1391705,41.2894400906304,0.10502222497942593,39386.84453665,39426.694162,39295.006236,94280972432.1,94257479158.0,94385747828.05,94414381342.0,55102299.0,55102299.0,55102483.5,55102524.0,4963,64,6478
H14-6_W16-16,14,6,16,16,sign,16385,17.891149088373513,20.329963,6.427144680637905,35.92359914330242,22.774071199999998,23.460944,3.519167,42907321.49337809,48755132.0,54617360.4,55989372.0,25010.35324992371,28407.0,31831.0,32060.0,4963,64,6478
H14-6_W16-16,14,6,16,16,verify,16385,2.4884644718339946,2.488611,0.0847538403066625,3.405869011430935,2.6289781999999997,2.789667,2.204741,5967671.04351541,5969934.0,6303189.6,6689390.0,3478.349404943546,3489.0,3669.0,3894.0,4963,64,6478
H14-6_W16-4,14,6,16,4,keygen,10,43335.618826,43322.748567,40.20103214701342,0.09276671993176679,43408.7746339,43434.551659,43306.799233,103929118500.7,103907839998.0,104059930907.7,104077032633.0,55006285.2,55006278.0,55006323.900000006,55006332.0,7075,64,8590
H14-6_W16-4,14,6,16,4,sign,16385,19.68153683539823,22.371481,7.069990177773365,35.921941649686794,25.0741188,25.405667,3.832926,47201389.17204761,53650720.0,60132546.2,60940981.0,25010.483979249315,28407.0,31827.0,32056.0,7075,64,8590
H14-6_W16-4,14,6,16,4,verify,16385,2.3851439437900517,2.384352,0.09253408757937023,3.879601808531997,2.5425884,2.757,2.069537,5719748.425267013,5719896.0,6096472.0,6612598.0,3013.0654256942325,3024.0,3204.0,3474.0,7075,64,8590
H14-6_W4-16,14,6,4,16,keygen,10,22118.8746795,22118.7974685,10.509407588449594,0.04751330138051653,22133.4704213,22134.052913,22095.711579,53051261479.8,53051304182.5,53086054970.15,53087618582.0,30722938.5,30722952.0,30723042.0,30723042.0,7075,64,6478
