w0,w1,height_split,configuration,keygen_mean_ms,sign_mean_ms,verify_mean_ms,signature_bytes,secret_key_bytes,keygen_change_vs_10_10_percent,sign_change_vs_10_10_percent,verify_change_vs_10_10_percent,sk_change_vs_10_10_bytes
16,16,10-10,H10-10_W16-16,4888.614247300,11.028813610,2.611040260,4963,5998,0.000000000,0.000000000,0.000000000,0
16,16,8-12,H8-12_W16-16,11501.286454200,12.068246730,2.822130520,4963,5758,135.266803073,9.424704748,8.084527199,-240
16,16,12-8,H12-8_W16-16,10411.904991600,11.165264480,2.600007180,4963,6238,112.982748585,1.237221653,-0.422554955,240
16,16,6-14,H6-14_W16-16,39277.914691300,8.867509210,2.700598350,4963,5518,703.457026968,-19.596889352,3.429977368,-480
16,16,14-6,H14-6_W16-16,39879.915754100,11.453725390,2.782694470,4963,6478,715.771376850,3.852742417,6.574169408,480
4,16,10-10,H10-10_W4-16,3829.627349700,4.302171110,2.135622330,7075,5998,0.000000000,0.000000000,0.000000000,0
4,16,8-12,H8-12_W4-16,11193.323387700,6.665252250,2.234056120,7075,5758,192.282312758,54.927641872,4.609138452,-240
4,16,12-8,H12-8_W4-16,6222.789203500,6.276071140,2.158781280,7075,6238,62.490723908,45.881485871,1.084412242,240
4,16,6-14,H6-14_W4-16,39239.669959800,4.744348330,2.174070360,7075,5518,924.634158278,10.278001704,1.800319722,-480
4,16,14-6,H14-6_W4-16,22103.821066400,6.230056040,2.031243480,7075,6478,477.179423688,44.811907307,-4.887514451,480
16,4,10-10,H10-10_W16-4,3820.982286500,7.830014060,2.143026730,7075,8110,0.000000000,0.000000000,0.000000000,0
16,4,8-12,H8-12_W16-4,6279.254236900,11.264439010,2.217128520,7075,7870,64.336125270,43.862308850,3.457809880,-240
16,4,12-8,H12-8_W16-4,10100.190456700,11.182722580,2.146521150,7075,8350,164.334919646,42.818678157,0.163060029,240
16,4,6-14,H6-14_W16-4,22314.662757000,8.640283350,2.183465720,7075,7630,484.003302916,10.348248212,1.887003528,-480
16,4,14-6,H14-6_W16-4,39170.225176400,11.276026150,2.152282860,7075,8590,925.134958484,44.010292492,0.431918551,480
4,4,10-10,H10-10_W4-4,2756.036696500,4.305990380,1.699745180,9187,8110,0.000000000,0.000000000,0.000000000,0
4,4,8-12,H8-12_W4-4,5840.799805700,6.030359940,1.645215580,9187,7870,111.927504925,40.045829364,-3.208104405,-240
4,4,12-8,H12-8_W4-4,5827.106415100,6.165405690,1.696201530,9187,8350,111.430654116,43.182059083,-0.208481250,240
4,4,6-14,H6-14_W4-4,22051.038751800,4.736356880,1.638995910,9187,7630,700.099606069,9.994599663,-3.574022195,-480
4,4,14-6,H14-6_W4-4,22052.329736900,6.244904030,1.708324980,9187,8590,700.146448155,45.028285688,0.504769780,480
