configuration,h0,h1,w0,w1,keygen_mean_ms,sign_mean_ms,verify_mean_ms,signature_bytes,secret_key_bytes,empirical_roles
H10-10_W16-16,10,10,16,16,4888.614247300,11.028813610,2.611040260,4963,5998,MIN_SIGNATURE
H10-10_W16-4,10,10,16,4,3820.982286500,7.830014060,2.143026730,7075,8110,PARETO_TRADEOFF
H10-10_W4-16,10,10,4,16,3829.627349700,4.302171110,2.135622330,7075,5998,MIN_SIGN;LOWER_LAYER_W4
H10-10_W4-4,10,10,4,4,2756.036696500,4.305990380,1.699745180,9187,8110,MIN_KEYGEN
H12-8_W16-16,12,8,16,16,10411.904991600,11.165264480,2.600007180,4963,6238,MIN_SIGNATURE
H12-8_W4-4,12,8,4,4,5827.106415100,6.165405690,1.696201530,9187,8350,PARETO_TRADEOFF
H14-6_W4-16,14,6,4,16,22103.821066400,6.230056040,2.031243480,7075,6478,LOWER_LAYER_W4
H6-14_W16-16,6,14,16,16,39277.914691300,8.867509210,2.700598350,4963,5518,MIN_SIGNATURE;MIN_SECRET_KEY
H6-14_W4-16,6,14,4,16,39239.669959800,4.744348330,2.174070360,7075,5518,MIN_SECRET_KEY;LOWER_LAYER_W4
H6-14_W4-4,6,14,4,4,22051.038751800,4.736356880,1.638995910,9187,7630,MIN_VERIFY
H8-12_W16-16,8,12,16,16,11501.286454200,12.068246730,2.822130520,4963,5758,MIN_SIGNATURE
H8-12_W4-16,8,12,4,16,11193.323387700,6.665252250,2.234056120,7075,5758,LOWER_LAYER_W4
H8-12_W4-4,8,12,4,4,5840.799805700,6.030359940,1.645215580,9187,7870,PARETO_TRADEOFF
