configuration,h0,h1,w0,w1,keygen_rows,sign_rows,verify_rows,verification_passes,verification_failures,verification_pass_rate,mean_verify_ms,min_verify_ms,max_verify_ms
H10-10_W16-16,10,10,16,16,10,1025,1025,1025,0,1.0,2.6045264097560974,2.356537,2.87313
H10-10_W16-4,10,10,16,4,10,1025,1025,1025,0,1.0,2.1679058907317073,1.949889,2.396148
H10-10_W4-16,10,10,4,16,10,1025,1025,1025,0,1.0,2.1203518273170734,2.031074,2.230111
H10-10_W4-4,10,10,4,4,10,1025,1025,1025,0,1.0,1.6740446995121951,1.598389,1.758481
H12-8_W16-16,12,8,16,16,10,4097,4097,4097,0,1.0,2.74638268391506,2.455333,7.155593
H12-8_W16-4,12,8,16,4,10,4097,4097,4097,0,1.0,2.152733161581645,1.874482,6.223185
H12-8_W4-16,12,8,4,16,10,4097,4097,4097,0,1.0,2.1772956477910665,2.083778,2.281703
H12-8_W4-4,12,8,4,4,10,4097,4097,4097,0,1.0,1.6493473451305833,1.556574,1.753611
H14-6_W16-16,14,6,16,16,10,16385,16385,16385,0,1.0,2.4884644718339946,2.204741,2.789667
H14-6_W16-4,14,6,16,4,10,16385,16385,16385,0,1.0,2.3851439437900517,2.069537,2.757
H14-6_W4-16,14,6,4,16,10,16385,16385,16385,0,1.0,2.1189432202014036,2.008352,6.184741
H14-6_W4-4,14,6,4,4,10,16385,16385,16385,0,1.0,1.8338517761977418,1.718574,1.945463
H6-14_W16-16,6,14,16,16,10,65,65,65,0,1.0,2.606960138461538,2.427167,2.854408
H6-14_W16-4,6,14,16,4,10,65,65,65,0,1.0,2.160911076923077,1.908314,2.327037
H6-14_W4-16,6,14,4,16,10,65,65,65,0,1.0,2.2416164615384617,2.163112,2.306945
H6-14_W4-4,6,14,4,4,10,65,65,65,0,1.0,1.6077564153846153,1.547389,1.752352
H8-12_W16-16,8,12,16,16,10,257,257,257,0,1.0,2.5494109571984436,2.391908,2.749185
H8-12_W16-4,8,12,16,4,10,257,257,257,0,1.0,2.122759093385214,1.942963,2.427278
H8-12_W4-16,8,12,4,16,10,257,257,257,0,1.0,2.1457135291828795,2.054481,2.233259
H8-12_W4-4,8,12,4,4,10,257,257,257,0,1.0,1.7067786186770428,1.622018,1.77763
