repeat,configuration,keygen_rows,sign_rows,verify_rows,verification_passes,verification_failures
01,H14-6_W16-16,10,16385,16385,16385,0
01,H14-6_W16-4,10,16385,16385,16385,0
01,H14-6_W4-16,10,16385,16385,16385,0
01,H14-6_W4-4,10,16385,16385,16385,0
02,H14-6_W16-16,10,16385,16385,16385,0
02,H14-6_W16-4,10,16385,16385,16385,0
02,H14-6_W4-16,10,16385,16385,16385,0
02,H14-6_W4-4,10,16385,16385,16385,0
03,H14-6_W16-16,10,16385,16385,16385,0
03,H14-6_W16-4,10,16385,16385,16385,0
03,H14-6_W4-16,10,16385,16385,16385,0
03,H14-6_W4-4,10,16385,16385,16385,0
