configuration,h0,h1,w0,w1,source_phase,operation,n,mean_ms,median_ms,sd_ms,cv_percent,min_ms,max_ms,signature_bytes,public_key_bytes,secret_key_bytes
H10-10_W16-16,10,10,16,16,HEIGHT,keygen,10,4888.614247300,4887.652164000,3.559882921,0.072819878,4885.183164000,4894.892238000,4963,64,5998
H10-10_W16-16,10,10,16,16,HEIGHT,sign,100,11.028813610,10.610972000,4.850197882,43.977512484,5.711130000,18.021907000,4963,64,5998
H10-10_W16-16,10,10,16,16,HEIGHT,verify,100,2.611040260,2.614343000,0.082022793,3.141383707,2.391481000,2.786185000,4963,64,5998
H10-10_W16-4,10,10,16,4,WOTS,keygen,10,3820.982286500,3820.710988500,0.801871840,0.020986013,3820.133313000,3822.762387000,7075,64,8110
H10-10_W16-4,10,10,16,4,WOTS,sign,100,7.830014060,5.953259500,3.206652605,40.953344146,5.721277000,15.747463000,7075,64,8110
H10-10_W16-4,10,10,16,4,WOTS,verify,100,2.143026730,2.142898000,0.092328163,4.308306655,1.878796000,2.368686000,7075,64,8110
H10-10_W4-16,10,10,4,16,WOTS,keygen,10,3829.627349700,3820.800470000,17.640443046,0.460630799,3819.176406000,3874.032164000,7075,64,5998
H10-10_W4-16,10,10,4,16,WOTS,sign,100,4.302171110,3.246111000,1.795505299,41.734864867,3.132426000,8.670371000,7075,64,5998
H10-10_W4-16,10,10,4,16,WOTS,verify,100,2.135622330,2.130583500,0.071417763,3.344119498,1.973926000,2.332037000,7075,64,5998
H10-10_W4-4,10,10,4,4,WOTS,keygen,10,2756.036696500,2755.663655500,2.607520454,0.094611239,2753.729109000,2763.066387000,9187,64,8110
H10-10_W4-4,10,10,4,4,WOTS,sign,100,4.305990380,3.242351500,1.798995102,41.778892727,3.165889000,8.656870000,9187,64,8110
H10-10_W4-4,10,10,4,4,WOTS,verify,100,1.699745180,1.697463000,0.044216949,2.601386931,1.583297000,1.791518000,9187,64,8110
H12-8_W16-16,12,8,16,16,HEIGHT,keygen,10,10411.904991600,10409.978799000,5.198044302,0.049924047,10408.526530000,10426.235364000,4963,64,6238
H12-8_W16-16,12,8,16,16,HEIGHT,sign,100,11.165264480,8.315268500,5.876683404,52.633624709,5.686574000,20.320222000,4963,64,6238
H12-8_W16-16,12,8,16,16,HEIGHT,verify,100,2.600007180,2.580185500,0.082112879,3.158178931,2.437204000,2.792574000,4963,64,6238
H12-8_W16-4,12,8,16,4,JOINT,keygen,10,10100.190456700,10102.300558500,3.611932667,0.035761035,10093.957327000,10103.292160000,7075,64,8350
H12-8_W16-4,12,8,16,4,JOINT,sign,100,11.182722580,8.322222000,5.881966250,52.598695962,5.686204000,20.378463000,7075,64,8350
H12-8_W16-4,12,8,16,4,JOINT,verify,100,2.146521150,2.155972000,0.080853422,3.766719094,1.968018000,2.354537000,7075,64,8350
H12-8_W4-16,12,8,4,16,JOINT,keygen,10,6222.789203500,6221.159857000,5.069069054,0.081459758,6216.725737000,6233.918496000,7075,64,6238
H12-8_W4-16,12,8,4,16,JOINT,sign,100,6.276071140,4.618741000,3.352867880,53.423038156,3.196592000,11.546259000,7075,64,6238
H12-8_W4-16,12,8,4,16,JOINT,verify,100,2.158781280,2.159667000,0.027827979,1.289059694,2.098185000,2.243408000,7075,64,6238
H12-8_W4-4,12,8,4,4,JOINT,keygen,10,5827.106415100,5826.238552500,2.450414495,0.042051995,5825.483756000,5833.402811000,9187,64,8350
H12-8_W4-4,12,8,4,4,JOINT,sign,100,6.165405690,4.527768500,3.293693641,53.422172145,3.135852000,11.287815000,9187,64,8350
H12-8_W4-4,12,8,4,4,JOINT,verify,100,1.696201530,1.688472000,0.027627427,1.628782087,1.639112000,1.755223000,9187,64,8350
H14-6_W16-16,14,6,16,16,HEIGHT,keygen,10,39879.915754100,39871.004337500,26.579284754,0.066648297,39855.538939000,39921.979606000,4963,64,6478
H14-6_W16-16,14,6,16,16,HEIGHT,sign,100,11.453725390,6.086630000,7.032021305,61.395057636,5.795704000,23.064574000,4963,64,6478
H14-6_W16-16,14,6,16,16,HEIGHT,verify,100,2.782694470,2.759741000,0.093418111,3.357109882,2.595445000,3.047741000,4963,64,6478
H14-6_W16-4,14,6,16,4,JOINT,keygen,10,39170.225176400,39166.918643500,47.605470647,0.121534840,39116.940884000,39283.984828000,7075,64,8590
H14-6_W16-4,14,6,16,4,JOINT,sign,100,11.276026150,5.988463000,6.905103814,61.237032639,5.647759000,22.763963000,7075,64,8590
H14-6_W16-4,14,6,16,4,JOINT,verify,100,2.152282860,2.147305500,0.084391274,3.921012212,1.968537000,2.383944000,7075,64,8590
H14-6_W4-16,14,6,4,16,JOINT,keygen,10,22103.821066400,22108.633876000,9.913954313,0.044851767,22087.684672000,22112.495617000,7075,64,6478
H14-6_W4-16,14,6,4,16,JOINT,sign,100,6.230056040,3.225241000,3.882412628,62.317459155,3.140037000,12.620463000,7075,64,6478
H14-6_W4-16,14,6,4,16,JOINT,verify,100,2.031243480,2.034685000,0.027189053,1.338542281,1.974834000,2.100445000,7075,64,6478
H14-6_W4-4,14,6,4,4,JOINT,keygen,10,22052.329736900,22059.099246000,15.877631316,0.071999791,22024.365468000,22067.685024000,9187,64,8590
H14-6_W4-4,14,6,4,4,JOINT,sign,100,6.244904030,3.255861500,3.882643328,62.172986317,3.165092000,12.648648000,9187,64,8590
H14-6_W4-4,14,6,4,4,JOINT,verify,100,1.708324980,1.715768500,0.025317658,1.482016488,1.643241000,1.756296000,9187,64,8590
H6-14_W16-16,6,14,16,16,HEIGHT,keygen,10,39277.914691300,39227.667810000,151.943020469,0.386840854,39209.237662000,39708.598736000,4963,64,5518
H6-14_W16-16,6,14,16,16,HEIGHT,sign,100,8.867509210,8.529769000,2.944409655,33.204472474,3.604500000,13.541222000,4963,64,5518
H6-14_W16-16,6,14,16,16,HEIGHT,verify,100,2.700598350,2.693407500,0.084075257,3.113208487,2.492166000,2.924130000,4963,64,5518
H6-14_W16-4,6,14,16,4,JOINT,keygen,10,22314.662757000,22316.765607000,13.421915638,0.060148414,22278.273209000,22325.250098000,7075,64,7630
H6-14_W16-4,6,14,16,4,JOINT,sign,100,8.640283350,8.304740500,2.884512060,33.384461401,3.684537000,13.202278000,7075,64,7630
H6-14_W16-4,6,14,16,4,JOINT,verify,100,2.183465720,2.181305500,0.084916838,3.889085002,1.987778000,2.379000000,7075,64,7630
H6-14_W4-16,6,14,4,16,JOINT,keygen,10,39239.669959800,39235.094439500,14.600054433,0.037207383,39223.154717000,39271.831569000,7075,64,5518
H6-14_W4-16,6,14,4,16,JOINT,sign,100,4.744348330,4.543508500,1.607600779,33.884543605,1.860833000,7.264963000,7075,64,5518
H6-14_W4-16,6,14,4,16,JOINT,verify,100,2.174070360,2.172222000,0.029431895,1.353769214,2.099815000,2.239518000,7075,64,5518
H6-14_W4-4,6,14,4,4,JOINT,keygen,10,22051.038751800,22054.005385500,30.606917203,0.138800342,22007.460265000,22105.951561000,9187,64,7630
H6-14_W4-4,6,14,4,4,JOINT,sign,100,4.736356880,4.553333000,1.609722993,33.986522417,1.854797000,7.296852000,9187,64,7630
H6-14_W4-4,6,14,4,4,JOINT,verify,100,1.638995910,1.644435000,0.030209269,1.843157047,1.549908000,1.706611000,9187,64,7630
H8-12_W16-16,8,12,16,16,HEIGHT,keygen,10,11501.286454200,11503.324983500,7.353396976,0.063935430,11481.587956000,11507.934327000,4963,64,5758
H8-12_W16-16,8,12,16,16,HEIGHT,sign,100,12.068246730,14.332305500,4.329621276,35.876141519,6.210667000,17.276666000,4963,64,5758
H8-12_W16-16,8,12,16,16,HEIGHT,verify,100,2.822130520,2.796417000,0.097559350,3.456939687,2.650000000,3.097778000,4963,64,5758
H8-12_W16-4,8,12,16,4,JOINT,keygen,10,6279.254236900,6279.026755000,4.042772195,0.064382999,6272.546237000,6283.587608000,7075,64,7870
H8-12_W16-4,8,12,16,4,JOINT,sign,100,11.264439010,13.389036500,4.037594278,35.843722662,5.843574000,16.035166000,7075,64,7870
H8-12_W16-4,8,12,16,4,JOINT,verify,100,2.217128520,2.222564500,0.079092247,3.567328030,2.031981000,2.480481000,7075,64,7870
H8-12_W4-16,8,12,4,16,JOINT,keygen,10,11193.323387700,11194.989465500,4.632374396,0.041385156,11183.608808000,11198.338716000,7075,64,5758
H8-12_W4-16,8,12,4,16,JOINT,sign,100,6.665252250,7.969472000,2.432845588,36.500427847,3.467555000,9.538481000,7075,64,5758
H8-12_W4-16,8,12,4,16,JOINT,verify,100,2.234056120,2.237250000,0.028855481,1.291618430,2.168463000,2.300463000,7075,64,5758
H8-12_W4-4,8,12,4,4,JOINT,keygen,10,5840.799805700,5840.099135500,4.317509564,0.073919835,5836.245719000,5852.183163000,9187,64,7870
H8-12_W4-4,8,12,4,4,JOINT,sign,100,6.030359940,7.192879000,2.201674201,36.509830638,3.148685000,8.616537000,9187,64,7870
H8-12_W4-4,8,12,4,4,JOINT,verify,100,1.645215580,1.649778000,0.026860359,1.632634638,1.581371000,1.701297000,9187,64,7870
