configuration,source_phase,source_rows,normalized_rows,keygen_rows,sign_rows,verify_rows,verification_passes,signature_bytes,public_key_bytes,secret_key_bytes,status
H10-10_W16-16,HEIGHT,210,210,10,100,100,100,4963,64,5998,PASS
H10-10_W4-16,WOTS,210,210,10,100,100,100,7075,64,5998,PASS
H10-10_W16-4,WOTS,210,210,10,100,100,100,7075,64,8110,PASS
H10-10_W4-4,WOTS,210,210,10,100,100,100,9187,64,8110,PASS
H8-12_W16-16,HEIGHT,210,210,10,100,100,100,4963,64,5758,PASS
H8-12_W4-16,JOINT,210,210,10,100,100,100,7075,64,5758,PASS
H8-12_W16-4,JOINT,210,210,10,100,100,100,7075,64,7870,PASS
H8-12_W4-4,JOINT,210,210,10,100,100,100,9187,64,7870,PASS
H12-8_W16-16,HEIGHT,210,210,10,100,100,100,4963,64,6238,PASS
H12-8_W4-16,JOINT,210,210,10,100,100,100,7075,64,6238,PASS
H12-8_W16-4,JOINT,210,210,10,100,100,100,7075,64,8350,PASS
H12-8_W4-4,JOINT,210,210,10,100,100,100,9187,64,8350,PASS
H6-14_W16-16,HEIGHT,210,210,10,100,100,100,4963,64,5518,PASS
H6-14_W4-16,JOINT,210,210,10,100,100,100,7075,64,5518,PASS
H6-14_W16-4,JOINT,210,210,10,100,100,100,7075,64,7630,PASS
H6-14_W4-4,JOINT,210,210,10,100,100,100,9187,64,7630,PASS
H14-6_W16-16,HEIGHT,210,210,10,100,100,100,4963,64,6478,PASS
H14-6_W4-16,JOINT,210,210,10,100,100,100,7075,64,6478,PASS
H14-6_W16-4,JOINT,210,210,10,100,100,100,7075,64,8590,PASS
H14-6_W4-4,JOINT,210,210,10,100,100,100,9187,64,8590,PASS
