h0,h1,w0,w1,sign_mean_ms,sign_median_ms,sign_p95_ms,sign_mean_Mcycles,verify_mean_ms,rollover_delta_pct,signature_bytes,secret_key_bytes,strict_pareto
6,14,16,16,8.482,7.064,13.266,20.339,2.607,18.33,4963,5518,YES
6,14,16,4,8.346,6.134,13.107,20.018,2.161,-8.45,7075,7630,NO
6,14,4,16,4.623,4.528,7.233,11.087,2.242,68.99,7075,5518,YES
6,14,4,4,4.599,3.659,7.247,11.030,1.608,13.57,9187,7630,YES
8,12,16,16,10.674,12.957,15.469,25.598,2.549,20.44,4963,5758,NO
8,12,16,4,10.675,12.988,15.496,25.601,2.123,-9.33,7075,7870,NO
8,12,4,16,5.966,7.278,8.675,14.308,2.146,71.62,7075,5758,NO
8,12,4,4,5.892,7.189,8.581,14.129,1.707,17.83,9187,7870,NO
10,10,16,16,13.066,15.435,17.913,31.336,2.605,18.64,4963,5998,NO
10,10,16,4,13.030,15.389,17.874,31.249,2.168,-6.57,7075,8110,NO
10,10,4,16,7.240,8.571,9.947,17.364,2.120,71.36,7075,5998,NO
10,10,4,4,7.227,8.555,9.932,17.332,1.674,16.97,9187,8110,NO
12,8,16,16,15.469,17.838,20.299,37.022,2.746,21.43,4963,6238,NO
12,8,16,4,15.430,17.826,20.283,36.996,2.153,-10.94,7075,8350,NO
12,8,4,16,8.532,9.869,11.232,20.460,2.177,64.13,7075,6238,NO
12,8,4,4,8.541,9.882,11.241,20.482,1.649,17.54,9187,8350,NO
14,6,16,16,17.891,20.330,22.774,42.907,2.488,24.04,4963,6478,NO
14,6,16,4,19.682,22.371,25.074,47.201,2.385,-7.35,7075,8590,NO
14,6,4,16,9.907,11.264,12.619,23.759,2.119,74.29,7075,6478,NO
14,6,4,4,10.928,12.425,13.926,26.207,1.834,15.20,9187,8590,NO
