configuration,h0,h1,w0,w1,rollover_index_before,rollover_index_after,rollover_latency_ms,adjacent_mean_latency_ms,rollover_latency_delta_ms,rollover_latency_increase_pct,rollover_cpu_cycles,adjacent_mean_cpu_cycles,rollover_cycle_delta,rollover_cycle_increase_pct,rollover_logical_hash_calls,adjacent_mean_logical_hash_calls,rollover_logical_hash_delta,rollover_logical_hash_increase_pct,rollover_tree_nodes,rollover_auth_path_nodes,rollover_bds_updates,signature_bytes,secret_key_bytes
H10-10_W16-16,10,10,16,16,1023,1024,6.923500000,5.835518500,1.087981500,18.644127,16602088,13997263.500,2604824.500,18.609527,9703,8178.500,1524.500,18.640337,10,20,1,4963,5998
H10-10_W16-4,10,10,16,4,1023,1024,5.405149000,5.784953500,-0.379804500,-6.565386,12961209,13875751.500,-914542.500,-6.590940,7570,8133.500,-563.500,-6.928137,10,20,1,7075,8110
H10-10_W4-16,10,10,4,16,1023,1024,5.415925000,3.160472000,2.255453000,71.364435,12993785,7578916.500,5414868.500,71.446473,7588,4391.000,3197.000,72.808016,10,20,1,7075,5998
H10-10_W4-4,10,10,4,4,1023,1024,3.721963000,3.181963000,0.540000000,16.970656,8927719,7632408.000,1295311.000,16.971197,5167,4418.000,749.000,16.953373,10,20,1,9187,8110
H12-8_W16-16,12,8,16,16,4095,4096,7.007352000,5.770685000,1.236667000,21.430160,16809109,13837493.000,2971616.000,21.475104,9801,8066.000,1735.000,21.510042,12,20,1,4963,6238
H12-8_W16-4,12,8,16,4,4095,4096,5.300037000,5.951213000,-0.651176000,-10.941904,12714343,14275589.500,-1561246.500,-10.936477,7425,8381.000,-956.000,-11.406753,12,20,1,7075,8350
H12-8_W4-16,12,8,4,16,4095,4096,5.279611000,3.216814500,2.062796500,64.125441,12646618,7712689.000,4933929.000,63.971580,7380,4476.500,2903.500,64.860940,12,20,1,7075,6238
H12-8_W4-4,12,8,4,4,4095,4096,3.757426000,3.196647500,0.560778500,17.542707,9011166,7664229.500,1346936.500,17.574324,5229,4449.500,779.500,17.518822,12,20,1,9187,8350
H14-6_W16-16,14,6,16,16,16383,16384,7.361111000,5.934472000,1.426639000,24.039864,17615747,14233966.500,3381780.500,23.758525,10259,8291.000,1968.000,23.736582,14,20,1,4963,6478
H14-6_W16-4,14,6,16,4,16383,16384,6.052074000,6.532435000,-0.480361000,-7.353475,14520179,15669400.500,-1149221.500,-7.334177,7676,8313.500,-637.500,-7.668250,14,20,1,7075,8590
H14-6_W4-16,14,6,4,16,16383,16384,5.537389000,3.177055000,2.360334000,74.293143,13284812,7622691.000,5662121.000,74.279818,7748,4413.500,3334.500,75.552283,14,20,1,7075,6478
H14-6_W4-4,14,6,4,4,16383,16384,4.107444000,3.565527500,0.541916500,15.198775,9851564,8551633.000,1299931.000,15.200968,5165,4485.500,679.500,15.148813,14,20,1,9187,8590
H6-14_W16-16,6,14,16,16,63,64,7.064296000,5.970129500,1.094166500,18.327350,16942775,14318289.500,2624485.500,18.329602,9777,8268.500,1508.500,18.243938,6,20,1,4963,5518
H6-14_W16-4,6,14,16,4,63,64,5.457407000,5.961370500,-0.503963500,-8.453819,13093027,14302592.500,-1209565.500,-8.456967,7617,8358.500,-741.500,-8.871209,6,20,1,7075,7630
H6-14_W4-16,6,14,4,16,63,64,5.418019000,3.206092000,2.211927000,68.991376,12998787,7687144.500,5311642.500,69.097732,7581,4449.500,3131.500,70.378694,6,20,1,7075,5518
H6-14_W4-4,6,14,4,4,63,64,3.659112000,3.221796000,0.437316000,13.573671,8777428,7730243.000,1047185.000,13.546599,5070,4467.500,602.500,13.486290,6,20,1,9187,7630
H8-12_W16-16,8,12,16,16,255,256,7.085815000,5.883194500,1.202620500,20.441624,16978724,14107187.500,2871536.500,20.355131,9920,8246.000,1674.000,20.300752,8,20,1,4963,5758
H8-12_W16-4,8,12,16,4,255,256,5.333833000,5.882648500,-0.548815500,-9.329395,12795224,14114129.500,-1318905.500,-9.344576,7463,8268.500,-805.500,-9.741791,8,20,1,7075,7870
H8-12_W4-16,8,12,4,16,255,256,5.529111000,3.221731500,2.307379500,71.619236,13263463,7727544.000,5535919.000,71.638790,7643,4422.500,3220.500,72.820803,8,20,1,7075,5758
H8-12_W4-4,8,12,4,4,255,256,3.767204000,3.197287000,0.569917000,17.825019,9033689,7669476.500,1364212.500,17.787557,5213,4436.000,777.000,17.515780,8,20,1,9187,7870
